siteID,taxRegistration,name,address,city,state,zip,employees,production,engineers,prod0,prod15,prod20,prod30,eng0,eng10,eng15,eng20,eng30
68,601510210,A & G Machine,1231 37th St NW,Auburn,WA,98001,81,68,0,2,9,27,30,0,0,0,0,0
69,601523259,Eldec Corporation,16700 13th Ave W,Lynnwood,WA,98046,723,332,208,0,139,136,56,0,0,2,15,191
70,601569692,Janicki Industries,1476 Moore Street,Sedro Wooley,WA,98284,585,345,125,3,204,69,69,0,0,0,38,88
71,601594533,Valley Machine Shop,1166 6th Ave N,Kent,WA,98032,65,37,0,6,15,15,0,0,0,0,0,0
72,601595776,United Technologies (Goodrich),2701 94th Street S.W.,Everett,WA,98204,52,18,11,0,5,10,3,0,0,0,1,10
73,601596152,Panasonic Avionics Corporation,22333 29th Drive SE,Bothell,WA,98021,468,77,120,0,15,40,22,0,0,1,26,93
74,601635772,Composite Solutions Corporation,1820 West Valley Hwy N,Auburn,WA,98001,72,48,8,26,16,5,1,0,0,1,3,4
75,601637828,AIM Aerospace (Auburn),1502 20th st NW,Auburn,WA,98001,326,304,0,204,30,49,21,0,0,0,0,0
76,601660375,IDD Aerospace (Zodiac),18225 NE 76TH ST,Redmond,WA,98052,154,89,31,24,30,32,3,0,0,0,5,26
77,601678606,Stoddard International,18660 58th Ave. NE,Arlington,WA,98223,72,52,2,34,18,0,0,0,1,0,0,1
78,601771787,Northwest Aerospace Technologies (Zodiac),2204 Hewitt Ave,Everett,WA,98201,201,66,94,24,18,20,4,0,0,0,15,79
79,601775003,Bodycote IMT,4605 Northwest Pacific Rim Boulevard,Camas,WA,98607,58,34,4,13,9,13,0,0,1,0,2,1
80,601780536,Labinal,2300 Merrill Creek Parkway,Everett,WA,98203,158,0,144,0,0,0,0,0,0,1,52,91
81,601825210,Custom Interface,401 S Larch St,Bingen,WA,98605,59,33,3,21,12,0,0,0,0,0,2,1
82,601871214,Compass Aerospace Northwest,821 3rd Ave So,Kent,WA,98032,92,80,0,22,25,25,9,0,0,0,0,0
83,601884825,LMI Aerospace,101 Western Street,Auburn,WA,98001,158,90,1,40,42,6,2,0,0,0,0,1
84,601936477,Angeles Composite Technologies,2138 W 18th Street,Port Angeles,WA,98363,75,58,6,17,41,0,0,0,1,0,4,1
85,601963363,Quality Stamping & Machining,1907 137th ave E,Sumner,WA,98391,81,71,0,31,11,17,12,0,0,0,0,0
86,601971129,TTF Aerospace,4620 B St NW ,Auburn,WA,98001,94,50,12,20,22,7,1,0,0,0,1,11
87,601974865,Qualitel Corporation,11831 Beverly Park Road,Everett,WA,98204,182,164,2,93,38,33,0,0,0,1,1,0
88,602027022,Heath Tecna (Zodiac),3225 Woburn Street,Bellingham,WA,98226,483,201,165,107,58,36,0,0,2,12,63,91
89,602027115,University Swaging Corporation,6525 240th St. SE,Woodinville,WA,98072,187,105,16,16,50,38,1,0,0,1,3,12
90,602128061,US Castings,14351 Shamel St.,Entiat,WA,98822,71,57,0,34,17,6,0,0,0,0,0,0
91,602130059,GCM North American Aerospace,21719 84th Ave S.,Kent,WA,98032,156,124,0,23,48,41,12,0,0,0,0,0
92,602136928,Commercial Aircraft Interiors,5916 195th St NE,Arlington,WA,98223,50,14,0,8,5,1,0,0,0,0,0,0
93,602223975,Exotic Metals Forming Company,5411 S 226th St. ,Kent,WA,98032,842,669,0,207,301,107,47,0,0,0,0,0
94,602251379,Triumph Composite Systems,1514 S. Flint Rd,Spokane,WA,99224,613,480,46,178,58,240,0,0,0,2,10,34
95,602333476,Pacific Propeller International,5802 S. 228th St,Kent,WA,98032,91,56,0,3,11,42,0,0,0,0,0,0
96,602353075,Triumph Structures Everett,1415 75th St SW,Everett,WA,98203,151,94,8,27,27,39,1,0,0,0,5,3
97,602410612,Goodrich Aerostructures Integration Services,2615 94th Street SW,Everett,WA,98204,80,53,9,0,20,33,0,0,0,0,2,7
98,602412516,Cobalt Enterprises,10917 Mountain Loop Hwy,Granite Falls,WA,98252,74,56,0,17,28,8,3,0,0,0,0,0
99,602436945,Tect Aerospace (Everett),"1515 - 75th Street SW, Suite 500",Everett,WA,98203,226,162,9,0,31,112,19,0,0,0,3,6
100,602436945,Tect Aerospace (Kent),19420 84th Ave South,Kent,WA,98030,75,54,7,2,19,26,7,0,1,0,0,6
101,602468581,Astronics Advanced Electronic Systems,125950 Willows Rd NE,Kirkland,WA,98034,396,104,212,3,51,35,15,0,0,2,36,174
102,602497628,Polaris Manufacturing,103 CEDAR AVE,Marysville,WA,98270,56,37,3,7,18,12,0,0,0,0,3,0
103,602504566,Triumph Actuation Systems,22922 NE Alder Crest Drive,Redmond,WA,98053,105,31,52,1,12,16,2,0,0,1,5,46
104,602513985,C & D Zodiac,12810 State Avenue,Marysville,WA,98271,659,428,60,333,60,27,8,0,4,7,16,33
105,602682584,Senior Operations,6914 204th St NE,Arlington,WA,98223,130,90,5,0,28,30,32,0,1,0,2,2
106,602682584,Senior Operations (Senior Aerospace - AMT),20100 71st Ave NE,Arlington,WA,98223,398,260,16,133,65,52,10,0,0,0,2,14
107,602682584,Senior Operations (Senior Aerospace - Damar),14286 169th Drive SE,Monroe,WA,98272,135,63,8,3,28,32,0,0,0,0,0,8
108,602704980,Western Pneumatic Tube Company,835 6TH ST. S,Kirkland,WA,98033,113,88,0,4,9,62,13,0,0,0,0,0
109,602814410,Planetechs,PO Box 2910,Tacoma,WA,98401,208,208,0,0,0,208,0,0,0,0,0,0
110,602849819,VT Volant Aerospace,11817 Westar Lane,Burlington,WA,98233,147,80,17,42,32,6,0,0,0,3,5,9
111,602907033,Pexco,2405 South 3rd Avenue,Union Gap,WA,98903,216,162,15,49,60,47,6,0,0,5,6,4
112,603064459,Cablecraft Motion Controls,4401 S. Orchard Street,Tacoma,WA,98466,76,49,5,12,5,25,7,0,0,0,3,2
113,603068485,Kaiser Aluminum Washington,E 15000 EUCLID,Spokane,WA,99217,942,532,58,11,80,442,0,0,0,0,7,51
114,603198617,Carlisle Interconnect Technologies,"7911 S 188th St, #100",Kent,WA,98032,746,620,66,521,62,25,12,0,9,13,16,28
115,603257860,Imaginetics,3410 A Street SE,Auburn,WA,98002,137,84,6,32,28,20,4,0,0,0,2,4
116,603257948,Custom Control Concepts,6020 190th Street S,Kent,WA,98032,114,65,33,33,33,0,0,0,0,0,2,31
117,603327495,Zodiac Cabin & Structures Support,12806 State Avenue,Marysville,WA,98271,259,193,14,125,48,19,0,0,4,0,4,7
